course_code,course_title,course_url,lecturer,admin,credit,faculty,school,campus,hours,course_fee
COMP6733,Internet of Things Design Studio,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP6733,Salil Kanhere ,null,6,Engineering,Computer Science and Engineering,Kensington,5,
COMP9024,Data Structures and Algorithms,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP9024/,"Michael Schofield, Michael Thielscher ,Hui Wu,Ashesh Mahidadia ",null,6,Engineering,Computer Science and Engineering,Kensington,4,
SENG2011,Software Engineering Workshop 2A,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/SENG2011,"Ian Chee-Wing Wong ,Manas Patra ,Ron Van der Meyden ",null,6,Engineering,Computer Science and Engineering,Kensington,5,
COMP2121,Microprocessors and Interfacing,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP2121/,"Hasindu Gamaarachchi ,Hui Wu ",null,6,Engineering,Computer Science and Engineering,Kensington,6,
COMP9900,Information Technology Project,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP9900,"Rachid Hamadi,Wael Alghamdi ",null,6,Engineering,Computer Science and Engineering,Kensington,10,
COMP6741,Parameterized and Exact Computation,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP6741,"Shenwei Huang ,Edward Jay Lee ",null,6,Engineering,Computer Science and Engineering,Kensington,4,
COMP1000,"Web, Spreadsheets and Databases",https://www.handbook.unsw.edu.au/undergraduate/courses/2019/comp1000/,"Wei Xu,Aarthi Natarajan ,Isaac Carr ",null,6,Engineering,Computer Science and Engineering,Kensington,4,
COMP3211,Computer Architecture,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP3211/,Hui Guo ,null,6,Engineering,Computer Science and Engineering,Kensington,6,
COMP3222,Digital Circuits and Systems,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP3222/,Oliver Diessel ,null,6,Engineering,Computer Science and Engineering,Kensington,7,
COMP6445,Digital Forensics and Incident Response,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/comp6445/,"Tim Boyce ,Roland Wen ",null,6,Engineering,Computer Science and Engineering,Kensington,5,
COMP9322,Software Service Design and Engineering,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP9322,"Fethi Rabhi ,Onur Demirors ",null,6,Engineering,Computer Science and Engineering,Kensington,3,
COMP4601,Design Project B,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP4601/,"Oliver Diessel ,Alexander Kroh ",null,6,Engineering,Computer Science and Engineering,Kensington,6,
COMP1400,Programming for Designers,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/comp1400/,"Hailun Tan ,Isaac Carr ",null,6,Engineering,Computer Science and Engineering,Kensington,6,
COMP3431,Robot Software Architectures,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP3431,"Timothy Wiley ,David Rajaratnam ",null,6,Engineering,Computer Science and Engineering,Kensington,5,
COMP9243,Distributed Systems,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP9243,Ihor Kuz ,null,6,Engineering,Computer Science and Engineering,Kensington,4,
